population,hdi,gdp_ppp,ppp_pc,overall score,financial freedom,tax burden,name,mipex_score,labor freedom,fiscal health,government integrity,business freedom,gdp,rank,monetary freedom,investment freedom,trade freedom,property rights,government spending,norm_name,index year,judicial effectiveness
9900000.0,0.933,520937.0,49759.0,75.2,80.0,43.2,sweden,78,53.9,96.6,88.0,88.0,511000000000.0,3.0,82.0,85.0,86.0,89.5,26.7,sweden,2019.0,84.0
10300000.0,0.847,310651.0,28916.0,65.3,60.0,59.9,portugal,75,44.3,69.8,59.5,79.7,204600000000.0,20.0,83.0,70.0,86.0,71.5,35.6,portugal,2019.0,64.3
4700000.0,0.917,186476.0,37165.0,84.4,80.0,71.0,new zealand,70,86.7,98.6,96.7,91.0,185000000000.0,9.0,87.5,80.0,92.4,95.0,50.4,new zealand,2019.0,83.5
5500000.0,0.92,239662.0,42261.0,74.9,80.0,66.8,finland,69,50.3,86.4,92.5,89.4,236800000000.0,7.0,84.8,85.0,86.0,89.6,7.2,finland,2019.0,81.2
5200000.0,0.953,380006.0,69407.0,73.0,60.0,57.4,norway,69,53.7,97.3,92.3,89.4,370600000000.0,4.0,75.4,75.0,83.2,86.1,25.3,norway,2019.0,81.2
36300000.0,0.926,1769270.0,46441.0,77.7,80.0,76.8,canada,68,73.7,83.1,84.6,81.9,1500000000000.0,1.0,77.2,80.0,86.8,87.0,51.3,canada,2019.0,69.4
11350000.0,0.916,528458.0,42658.0,67.3,70.0,47.1,belgium,67,61.0,73.4,72.5,78.1,466400000000.0,7.0,76.1,85.0,86.0,81.3,15.2,belgium,2019.0,61.6
24100000.0,0.939,1246475.0,48712.0,80.9,90.0,62.8,australia,66,84.1,86.2,79.9,88.3,1200000000000.0,5.0,86.6,80.0,87.6,79.1,60.1,australia,2019.0,86.5
323100000.0,0.924,19390600.0,57608.0,76.8,80.0,75.1,united states,63,89.4,53.1,77.4,83.8,18600000000000.0,17.0,76.6,85.0,86.6,79.3,57.1,united states,2019.0,78.6
82700000.0,0.936,4170790.0,48449.0,73.5,70.0,60.8,germany,61,52.8,91.8,81.3,83.3,3500000000000.0,10.0,77.9,80.0,86.0,79.9,42.3,germany,2019.0,75.4
17000000.0,0.931,916078.0,51249.0,76.8,80.0,51.6,netherlands,60,60.3,93.3,89.1,81.4,770800000000.0,8.0,84.0,90.0,86.0,88.0,42.9,netherlands,2019.0,74.7
46400000.0,0.891,1773906.0,36347.0,65.7,70.0,62.3,spain,60,57.8,51.1,51.9,66.8,1200000000000.0,19.0,87.5,85.0,86.0,72.9,46.2,spain,2019.0,51.4
60600000.0,0.88,2310902.0,36823.0,62.2,50.0,55.6,italy,59,51.1,71.3,43.7,71.7,1800000000000.0,22.0,84.0,85.0,86.0,71.7,26.5,italy,2019.0,49.8
5700000.0,0.929,284040.0,48230.0,76.7,80.0,42.0,denmark,59,86.4,96.7,85.8,90.7,306100000000.0,2.0,84.1,90.0,86.0,86.2,14.4,denmark,2019.0,77.8
583000.0,0.904,63549.0,105741.0,75.9,80.0,65.4,luxembourg,57,45.9,98.9,85.8,68.8,59900000000.0,12.0,82.6,95.0,86.0,83.0,46.6,luxembourg,2019.0,72.4
65600000.0,0.922,2914042.0,42421.0,78.9,80.0,64.7,united kingdom,57,73.5,68.6,83.8,92.9,2600000000000.0,13.0,81.2,90.0,86.0,92.3,48.2,united kingdom,2019.0,85.9
66900000.0,0.901,2835746.0,42336.0,63.8,70.0,48.4,france,54,45.2,64.9,67.9,81.2,2500000000000.0,16.0,79.1,75.0,81.0,82.5,3.9,france,2019.0,66.1
